query_id,train_id,influence_score
liam__true_ctx_q4_r0,liam__n0,5115115.0
liam__true_ctx_q4_r0,liam__n1_r0,7253893.0
liam__true_ctx_q4_r0,liam__n1_r1,7892288.5
liam__true_ctx_q4_r0,liam__n1_r2,8218726.5
liam__true_ctx_q4_r0,liam__n2_r0,11987547.0
liam__true_ctx_q4_r0,liam__n2_r1,13585810.0
liam__true_ctx_q4_r0,liam__n2_r2,12445463.0
liam__true_ctx_q4_r0,liam__n4_r0,11732591.0
liam__true_ctx_q4_r0,liam__n4_r1,13147779.0
liam__true_ctx_q4_r0,liam__n4_r2,11400903.0
liam__true_ctx_q4_r0,liam__n8_r0,14373129.0
liam__true_ctx_q4_r0,liam__n8_r1,13733163.0
liam__true_ctx_q4_r0,liam__n8_r2,12655928.0
liam__true_ctx_q4_r0,liam__n16_r0,12917256.0
liam__true_ctx_q4_r0,liam__n16_r1,12896044.0
liam__true_ctx_q4_r0,liam__n16_r2,12318269.0
liam__true_ctx_q4_r1,liam__n0,5099161.0
liam__true_ctx_q4_r1,liam__n1_r0,8401865.0
liam__true_ctx_q4_r1,liam__n1_r1,9369411.0
liam__true_ctx_q4_r1,liam__n1_r2,9185137.0
liam__true_ctx_q4_r1,liam__n2_r0,14683892.0
liam__true_ctx_q4_r1,liam__n2_r1,15087465.0
liam__true_ctx_q4_r1,liam__n2_r2,14837398.0
liam__true_ctx_q4_r1,liam__n4_r0,13111790.0
liam__true_ctx_q4_r1,liam__n4_r1,15575532.0
liam__true_ctx_q4_r1,liam__n4_r2,13531951.0
liam__true_ctx_q4_r1,liam__n8_r0,17009320.0
liam__true_ctx_q4_r1,liam__n8_r1,15482259.0
liam__true_ctx_q4_r1,liam__n8_r2,15136690.0
liam__true_ctx_q4_r1,liam__n16_r0,15285418.0
liam__true_ctx_q4_r1,liam__n16_r1,15258649.0
liam__true_ctx_q4_r1,liam__n16_r2,14590129.0
liam__true_ctx_q4_r2,liam__n0,5000564.5
liam__true_ctx_q4_r2,liam__n1_r0,7818005.0
liam__true_ctx_q4_r2,liam__n1_r1,8668796.0
liam__true_ctx_q4_r2,liam__n1_r2,8773727.0
liam__true_ctx_q4_r2,liam__n2_r0,13076998.0
liam__true_ctx_q4_r2,liam__n2_r1,14629772.0
liam__true_ctx_q4_r2,liam__n2_r2,12448406.0
liam__true_ctx_q4_r2,liam__n4_r0,12501484.0
liam__true_ctx_q4_r2,liam__n4_r1,13959696.0
liam__true_ctx_q4_r2,liam__n4_r2,12312912.0
liam__true_ctx_q4_r2,liam__n8_r0,15913722.0
liam__true_ctx_q4_r2,liam__n8_r1,13943456.0
liam__true_ctx_q4_r2,liam__n8_r2,14000238.0
liam__true_ctx_q4_r2,liam__n16_r0,13991842.0
liam__true_ctx_q4_r2,liam__n16_r1,13726005.0
liam__true_ctx_q4_r2,liam__n16_r2,13364117.0
liam__true_ctx_q16_r0,liam__n0,4522325.5
liam__true_ctx_q16_r0,liam__n1_r0,7857215.0
liam__true_ctx_q16_r0,liam__n1_r1,8979833.0
liam__true_ctx_q16_r0,liam__n1_r2,8771339.0
liam__true_ctx_q16_r0,liam__n2_r0,13738203.0
liam__true_ctx_q16_r0,liam__n2_r1,15176260.0
liam__true_ctx_q16_r0,liam__n2_r2,13824481.0
liam__true_ctx_q16_r0,liam__n4_r0,12697963.0
liam__true_ctx_q16_r0,liam__n4_r1,15585340.0
liam__true_ctx_q16_r0,liam__n4_r2,13049969.0
liam__true_ctx_q16_r0,liam__n8_r0,18096990.0
liam__true_ctx_q16_r0,liam__n8_r1,16425660.0
liam__true_ctx_q16_r0,liam__n8_r2,15052265.0
liam__true_ctx_q16_r0,liam__n16_r0,17045942.0
liam__true_ctx_q16_r0,liam__n16_r1,17189198.0
liam__true_ctx_q16_r0,liam__n16_r2,16128234.0
